salary_match_binary,salary_diff,talent_salary_bin,job_max_salary_bin,degree_match_binary,seniority_match_binary,seniority_exceed_binary,job_roles_match_binary,language_must_have_match_binary,language_good2have_count
0,-0.14,5,4,1,1,0,1,1,0
1,0.69,1,5,1,1,0,1,1,1
1,0.17,2,4,1,1,0,1,1,0
0,-0.11,7,6,1,1,0,1,1,1
1,0.0,4,4,1,1,0,1,1,0
0,-0.41,4,2,0,0,0,0,0,0
0,-0.36,4,2,1,1,0,0,1,1
1,0.59,1,6,1,1,0,1,1,0
1,0.31,1,4,0,0,0,1,1,0
1,0.28,3,6,0,1,0,0,1,1
1,0.28,1,3,1,1,0,1,1,0
0,-0.07,4,4,1,1,0,1,1,0
1,0.0,4,4,0,1,0,0,0,0
0,-0.07,4,4,1,1,0,1,1,0
1,0.07,3,4,1,1,0,1,1,0
1,0.12,4,5,1,1,0,0,1,1
1,0.49,1,4,1,1,0,1,1,0
1,0.36,1,4,1,1,0,1,1,0
1,0.0,2,2,1,1,0,1,1,0
0,-0.48,8,5,0,0,0,0,0,0
0,-0.03,4,4,1,1,0,1,1,0
1,0.43,1,4,1,1,0,1,1,0
1,0.36,1,4,1,0,0,1,1,0
0,-0.05,5,5,1,1,0,1,1,1
0,-0.34,9,6,0,0,0,0,0,0
0,-0.32,6,4,0,0,1,1,0,0
1,0.33,2,4,0,1,0,0,1,0
0,-0.3,6,4,0,0,0,0,0,0
0,-0.48,9,5,0,1,0,0,1,0
0,-0.03,4,4,0,0,0,0,1,0
1,0.11,3,4,1,1,0,1,1,0
0,-0.21,5,4,0,0,1,1,0,0
1,0.33,2,4,1,1,0,0,1,0
1,0.25,3,5,1,1,0,1,1,0
1,0.12,4,5,1,0,0,0,1,1
1,0.06,4,5,1,0,0,1,1,2
0,-0.23,5,4,1,1,0,0,0,0
1,0.43,1,4,1,1,0,1,1,0
0,-0.07,5,4,1,1,0,1,1,0
0,-0.35,7,5,1,1,0,1,0,0
0,-0.07,4,4,1,1,0,1,1,0
1,0.33,2,4,1,1,0,1,1,0
1,0.12,4,5,0,1,0,1,1,0
1,0.0,4,4,1,1,0,1,1,0
0,-0.39,6,4,0,0,1,1,0,0
